T_amb,omega,I,T_prev,T_next
30.479120971119265,1316.635319256157,12.878968798670737,32.75767692636005,32.83657985039489
30.526149206938825,1160.55250416385,12.35809699592581,32.83657985039489,32.84204553750965
30.53254122709719,1135.2530967763635,12.351376532924094,32.84204553750965,32.82153201237908
30.489889030718512,1205.6049347653898,12.662493307095673,32.82153201237908,32.88804282936278
30.493190565596574,1295.7842313228325,12.849497043996491,32.88804282936278,32.91793636807438
30.450225942452413,1325.2842940494324,12.465944003664891,32.91793636807438,33.026597925637176
30.494148457517777,1321.2902211705323,12.391999058246787,33.026597925637176,33.116093176040955
30.46010198029758,1419.0935282644548,12.330187265419266,33.116093176040955,32.62354387166342
30.438685589189426,1390.9228442253964,12.543110939640606,32.62354387166342,32.88114149620946
30.45695779240763,1423.9414531530754,12.715439340843758,32.88114149620946,32.88056236808107
30.56404017245115,1391.428251842306,12.510542249215144,32.88056236808107,33.597507592855
30.523351536038756,1440.7066056483457,12.9621311663035,33.597507592855,33.83384671726552
30.517654163156013,1373.4940874913434,12.632338680027004,33.83384671726552,32.761694697968615
30.55018380254725,1432.954421187619,12.849600387349083,32.761694697968615,33.95717283032563
30.516908317182814,1451.5273270329565,12.896274711005374,33.95717283032563,33.59020679236716
30.527842747019264,1521.2416292688117,12.985712930515247,33.59020679236716,33.94578401714108
30.56178842517286,1526.647954827923,13.10136068999124,33.94578401714108,33.8699538715317
30.59335283646479,1410.0754892394698,12.97349220344832,33.8699538715317,34.22478572324633
30.569834203750148,1358.9652613800024,12.863435302957646,34.22478572324633,33.93451710691802
30.644581269311868,1289.698772124543,13.250746644794237,33.93451710691802,33.54212604482881
30.56043778073108,1262.907969725681,13.315847870836238,33.54212604482881,34.00287487749401
30.589748897299042,1319.8060961091094,13.633186764916209,34.00287487749401,34.27671891008235
30.57231264368662,1282.817952695944,13.976377117419071,34.27671891008235,34.138971600911304
30.562747427442538,1180.7630468289103,13.52306223181768,34.138971600911304,34.483533767852975
30.516774813142458,1220.5359063532114,13.580032526245905,34.483533767852975,34.349625336038656
30.551299080845848,1186.3556946462886,13.64344840267659,34.349625336038656,34.275927547372326
30.582578600544213,1161.6079714686696,13.826158497699554,34.275927547372326,34.21209388787393
30.54948230349088,1132.5636637434638,13.673463340100222,34.21209388787393,34.50145206652487
30.489690321211427,1171.5214622063104,13.485702404019133,34.50145206652487,34.763651769776025
30.490315027147812,1209.981194918783,13.66431487443111,34.763651769776025,34.19570073173827
30.523584282596453,1202.1023561580291,13.494995549613447,34.19570073173827,34.62373553585252
30.51959837205113,1067.1156014413868,12.916150560644212,34.62373553585252,34.334598583406056
30.453463391433413,987.3358552332683,13.076060251333587,34.334598583406056,34.83029456070924
30.40818943866541,957.082850910117,13.595751570448012,34.83029456070924,35.45212890482635
30.39037624011234,1016.0840963874839,13.222304498444062,35.45212890482635,34.81287324539227
30.380104362218958,940.0823319946373,13.086691268083838,34.81287324539227,35.457142136331434
30.42211976909183,801.8966981392495,13.260460725502181,35.457142136331434,36.171646814653634
30.434006549208444,754.3647016835059,12.6820375837468,36.171646814653634,35.82479693370645
30.43761302459414,712.0052849584017,12.77510806828868,35.82479693370645,35.499695509068076
30.43870563187031,840.147596264075,12.679365817299471,35.499695509068076,35.789048372548805
30.387530757239215,854.4896470605803,12.767364490888177,35.789048372548805,35.19422525072201
30.455490136001238,921.2985467337465,12.91011291454798,35.19422525072201,35.20366604169686
30.528655280562216,826.1975023879185,12.654212301448082,35.20366604169686,35.74879785369271
30.48232648349194,795.012718135457,12.103537842425558,35.74879785369271,35.91814519319197
30.51408403083266,777.2349023675552,11.515215324624496,35.91814519319197,36.188700285614274
30.463305076772283,802.3160101635708,11.850465951782247,36.188700285614274,35.7537690801749
30.563141621356873,1035.4250074441572,12.016229725092646,35.7537690801749,36.04719460594232
30.51366471535528,864.8613049856525,12.12331431003018,36.04719460594232,36.09901908679618
30.473017660589765,831.6327241712777,11.878475590406257,36.09901908679618,36.07477595418497
30.465978116268946,916.9111426342891,11.941295017384395,36.07477595418497,36.1483746466058
30.458046374417012,834.0588424082242,11.271421839502652,36.1483746466058,35.97678891757824
30.433730978963347,829.7562383427586,11.978593804934606,35.97678891757824,36.37825338199439
30.440244705036992,908.3753992246031,11.778875565518945,36.37825338199439,36.410858649804766
30.380997516716143,831.1660582460133,11.488785139704644,36.410858649804766,36.28165264545328
30.4874210033379,765.4551239080624,11.824180821199182,36.28165264545328,36.6764141632714
30.44227464443355,839.980964938002,11.978161207641527,36.6764141632714,36.84531390010841
30.434442749550644,836.7199628471673,11.716246129469772,36.84531390010841,36.795458587036805
30.45674635962475,800.3212844199048,11.226003823962872,36.795458587036805,36.3411625383948
30.39284948090877,814.1283178376743,11.857640326527045,36.3411625383948,36.74659681566278
30.40084906158744,804.6372517488837,11.971970782368063,36.74659681566278,36.50440479292142
30.46614914867278,822.1878518579922,11.807599890034568,36.50440479292142,36.87450622200016
30.521463584175773,856.4883669349213,12.421902286832966,36.87450622200016,36.63496583550921
30.530625306036868,758.5308443972813,11.874638607134699,36.63496583550921,37.35158326217092
30.61317170264843,896.424102059945,11.80283092182166,37.35158326217092,37.26034618613696
30.59401233659163,1013.3396454393212,11.360012649004265,37.26034618613696,37.42666013376171
30.54927598564384,1064.8057890144448,11.202170599860429,37.42666013376171,37.452985489137404
30.549019892307836,1051.7303571324837,11.337200419380002,37.452985489137404,37.11559656309532
30.61939398537352,1058.9771496846233,11.594775936690745,37.11559656309532,37.12496828266287
30.51688538032197,1055.079677530214,11.257483828573596,37.12496828266287,37.82956792141043
30.45594472730079,984.8274881759139,11.123834452293272,37.82956792141043,37.31183791957386
30.501739854418588,878.7160707567488,11.136087049331039,37.31183791957386,37.013229370088226
30.47753138275191,852.5022232077919,11.53719017945288,37.013229370088226,37.77963488038942
30.504437154602105,959.4940718032113,11.47538790775292,37.77963488038942,37.57923499723557
30.46964002401857,941.5853664527714,11.572386624261409,37.57923499723557,38.04678848642382
30.478468691941256,854.8343206741021,11.608582536912559,38.04678848642382,37.73501696397718
30.4898801084482,1056.2322436768156,12.359320381425228,37.73501696397718,37.71698865419171
30.44721794092026,1033.2415747528817,11.773943580690426,37.71698865419171,38.246774343317405
30.417682590222086,1058.489975040109,12.25628502904572,38.246774343317405,37.384332788273674
30.381228398334905,1006.1582598346852,11.397369417150259,37.384332788273674,37.72493608054963
30.37309510230766,921.1651068859201,11.185593646203829,37.72493608054963,37.6822984169559
